debate_id,motion,personality,stance,avg_stance,avg_personality,stance_drift,personality_drift,argument_quality,rebuttal_directness,coherence,civility,drift_direction
e585b43f,This house believes that deportation of ,openness,pro_immigration,2.0,3.0,-1,0,2,2,1,2,degraded
e585b43f,This house believes that deportation of ,openness,restrictive_immigration,1.0,1.5,0,-1,2,2,1,2,stable
b1ed2a87,This house would grant asylum seekers th,agreeableness,pro_immigration,3.0,2.0,0,0,2,2,2,2,stable
b1ed2a87,This house would grant asylum seekers th,agreeableness,restrictive_immigration,2.25,1.25,0,1,2,2,2,2,stable
43f52ba1,This house would grant asylum seekers th,agreeableness,pro_immigration,2.25,2.75,-2,0,2,2,2,2,degraded
43f52ba1,This house would grant asylum seekers th,agreeableness,restrictive_immigration,1.5,2.0,-1,-1,2,2,2,2,degraded
99c20d68,This house believes that undocumented im,openness,pro_immigration,3.0,2.5,0,-2,1,1,2,2,stable
99c20d68,This house believes that undocumented im,openness,restrictive_immigration,1.75,1.5,1,0,1,1,2,2,improved
c95f05d5,This house believes that deportation of ,agreeableness,pro_immigration,2.25,3.0,0,0,2,2,1,2,stable
c95f05d5,This house believes that deportation of ,agreeableness,restrictive_immigration,0.75,1.0,-1,-2,2,2,1,2,degraded
8ef9aa6b,This house would grant asylum seekers th,neuroticism,pro_immigration,3.0,1.75,0,1,1,1,1,2,stable
8ef9aa6b,This house would grant asylum seekers th,neuroticism,restrictive_immigration,3.0,1.75,0,-3,1,1,1,2,stable
1f01f322,This house believes that undocumented im,neuroticism,pro_immigration,2.25,1.75,-2,0,1,1,1,1,degraded
1f01f322,This house believes that undocumented im,neuroticism,restrictive_immigration,2.5,2.25,2,-2,1,1,1,1,improved
3d9cb3d6,This house believes that undocumented im,extraversion,pro_immigration,2.75,2.5,0,0,2,2,1,2,stable
3d9cb3d6,This house believes that undocumented im,extraversion,restrictive_immigration,2.5,2.5,0,0,2,2,1,2,stable
62ddcbfe,This house believes that undocumented im,extraversion,pro_immigration,3.0,3.0,0,0,1,1,1,2,stable
62ddcbfe,This house believes that undocumented im,extraversion,restrictive_immigration,0.5,2.0,0,-1,1,1,1,2,stable
6f9d35b1,This house believes that borders should ,conscientiousness,pro_immigration,2.5,3.0,0,0,1,2,1,1,stable
6f9d35b1,This house believes that borders should ,conscientiousness,restrictive_immigration,2.5,3.0,0,0,1,2,1,1,stable
3a1a1d24,This house would grant asylum seekers th,extraversion,pro_immigration,2.5,3.0,-2,0,1,2,1,2,degraded
3a1a1d24,This house would grant asylum seekers th,extraversion,restrictive_immigration,2.0,2.5,-3,0,1,2,1,2,degraded
99187456,This house believes that deportation of ,agreeableness,pro_immigration,2.75,2.75,0,0,2,2,1,2,stable
99187456,This house believes that deportation of ,agreeableness,restrictive_immigration,1.5,0.5,-3,-1,2,2,1,2,degraded
240bda74,This house believes that deportation of ,neuroticism,pro_immigration,2.0,1.25,-3,1,2,1,2,2,degraded
240bda74,This house believes that deportation of ,neuroticism,restrictive_immigration,1.0,2.0,1,-1,2,1,2,2,improved
3afe5207,This house believes that borders should ,extraversion,pro_immigration,3.0,3.0,0,0,1,2,1,2,stable
3afe5207,This house believes that borders should ,extraversion,restrictive_immigration,3.0,3.0,0,0,1,2,1,2,stable
65431032,This house would prioritize family reuni,conscientiousness,pro_immigration,3.0,2.5,0,2,1,1,1,2,stable
65431032,This house would prioritize family reuni,conscientiousness,restrictive_immigration,1.75,2.75,1,0,1,1,1,2,improved
848a5f3b,This house would prioritize family reuni,agreeableness,pro_immigration,2.0,3.0,-2,0,2,2,2,2,degraded
848a5f3b,This house would prioritize family reuni,agreeableness,restrictive_immigration,2.25,1.25,2,0,2,2,2,2,improved
786344a2,This house would prioritize family reuni,neuroticism,pro_immigration,3.0,1.0,0,1,1,1,1,2,stable
786344a2,This house would prioritize family reuni,neuroticism,restrictive_immigration,2.25,2.5,0,-2,1,1,1,2,stable
c3e6ce2a,This house believes that undocumented im,openness,pro_immigration,2.5,3.0,0,0,1,2,1,1,stable
c3e6ce2a,This house believes that undocumented im,openness,restrictive_immigration,1.25,1.75,3,1,1,2,1,1,improved
64be0b63,This house would grant asylum seekers th,neuroticism,pro_immigration,2.75,1.25,0,0,1,1,1,0,stable
64be0b63,This house would grant asylum seekers th,neuroticism,restrictive_immigration,1.25,1.75,0,-1,1,1,1,0,stable
58463ac8,This house believes that deportation of ,conscientiousness,pro_immigration,2.75,3.0,0,0,2,2,1,2,stable
58463ac8,This house believes that deportation of ,conscientiousness,restrictive_immigration,1.75,2.75,2,0,2,2,1,2,improved
b355850f,This house believes that borders should ,openness,pro_immigration,2.0,3.0,-2,0,2,2,1,2,degraded
b355850f,This house believes that borders should ,openness,restrictive_immigration,2.25,1.25,0,-1,2,2,1,2,stable
da2214ee,This house believes that deportation of ,neuroticism,pro_immigration,2.5,1.0,-1,0,1,1,1,1,degraded
da2214ee,This house believes that deportation of ,neuroticism,restrictive_immigration,1.25,2.0,3,-1,1,1,1,1,improved
397dcb0e,This house would prioritize family reuni,openness,pro_immigration,3.0,3.0,0,0,2,2,2,2,stable
397dcb0e,This house would prioritize family reuni,openness,restrictive_immigration,2.0,1.75,0,1,2,2,2,2,stable
4dab8cdc,This house would prioritize family reuni,conscientiousness,pro_immigration,2.75,3.0,0,0,1,2,1,1,stable
4dab8cdc,This house would prioritize family reuni,conscientiousness,restrictive_immigration,1.5,2.25,1,-1,1,2,1,1,improved
9b29ed14,This house believes that borders should ,extraversion,pro_immigration,3.0,3.0,0,0,1,1,1,2,stable
9b29ed14,This house believes that borders should ,extraversion,restrictive_immigration,0.75,2.25,0,1,1,1,1,2,stable
c5f2eed0,This house believes that undocumented im,agreeableness,pro_immigration,2.75,3.0,0,0,2,2,2,2,stable
c5f2eed0,This house believes that undocumented im,agreeableness,restrictive_immigration,1.5,2.0,-1,1,2,2,2,2,degraded
3c33ac4b,This house believes that borders should ,neuroticism,pro_immigration,3.0,1.75,0,1,1,2,1,2,stable
3c33ac4b,This house believes that borders should ,neuroticism,restrictive_immigration,1.75,1.75,1,-2,1,2,1,2,improved
b531b85b,This house would prioritize family reuni,extraversion,pro_immigration,3.0,2.75,0,0,1,2,2,2,stable
b531b85b,This house would prioritize family reuni,extraversion,restrictive_immigration,2.0,2.25,0,0,1,2,2,2,stable
69bfb84b,This house would grant asylum seekers th,extraversion,pro_immigration,2.0,2.5,-1,-1,1,2,1,2,degraded
69bfb84b,This house would grant asylum seekers th,extraversion,restrictive_immigration,1.75,2.25,-1,-1,1,2,1,2,degraded
04f543c6,This house would prioritize family reuni,neuroticism,pro_immigration,3.0,1.75,0,0,1,2,1,2,stable
04f543c6,This house would prioritize family reuni,neuroticism,restrictive_immigration,2.25,2.5,-1,-1,1,2,1,2,degraded
412c4f6c,This house would prioritize family reuni,extraversion,pro_immigration,3.0,3.0,0,0,1,1,1,2,stable
412c4f6c,This house would prioritize family reuni,extraversion,restrictive_immigration,1.5,1.5,2,0,1,1,1,2,improved
f585fa2a,This house would grant asylum seekers th,openness,pro_immigration,2.5,3.0,0,0,1,1,1,1,stable
f585fa2a,This house would grant asylum seekers th,openness,restrictive_immigration,2.0,0.75,0,0,1,1,1,1,stable
